event_ticker,market_ticker,market_title,yes_subtitle,series_ticker,away_team,home_team,week,strike_date
KXNFLGAME-25SEP28CLEDET,KXNFLGAME-25SEP28CLEDET-DET,Cleveland at Detroit Winner?,Detroit,KXNFLGAME,CLE,DET,4,1759078800
KXNFLGAME-25SEP28CARNE,KXNFLGAME-25SEP28CARNE-NE,Carolina at New England Winner?,New England,KXNFLGAME,CAR,NE,4,1759078800
KXNFLGAME-25SEP28MINPIT,KXNFLGAME-25SEP28MINPIT-PIT,Minnesota at Pittsburgh Winner?,Pittsburgh,KXNFLGAME,MIN,PIT,4,1759066200
KXNFLGAME-25SEP25SEAARI,KXNFLGAME-25SEP25SEAARI-SEA,Seattle at Arizona Winner?,Seattle,KXNFLGAME,ARI,SEA,10,1762722300
KXNFLGAME-25SEP22DETBAL,KXNFLGAME-25SEP22DETBAL-DET,Detroit at Baltimore Winner?,Detroit,KXNFLGAME,DET,BAL,3,1758586500
KXNFLGAME-25SEP21KCNYG,KXNFLGAME-25SEP21KCNYG-KC,Kansas City at New York G Winner?,Kansas City,KXNFLGAME,KC,NYG,3,1758500400
KXNFLGAME-25SEP21DALCHI,KXNFLGAME-25SEP21DALCHI-DAL,Dallas at Chicago Winner?,Dallas,KXNFLGAME,DAL,CHI,3,1758486300
KXNFLGAME-25SEP21ARISF,KXNFLGAME-25SEP21ARISF-ARI,Arizona at San Francisco Winner?,Arizona,KXNFLGAME,SF,ARI,11,1763327100
KXNFLGAME-25SEP21NOSEA,KXNFLGAME-25SEP21NOSEA-SEA,New Orleans at Seattle Winner?,Seattle,KXNFLGAME,NO,SEA,3,1758485100
KXNFLGAME-25SEP21DENLAC,KXNFLGAME-25SEP21DENLAC-LAC,Denver at Los Angeles C Winner?,Los Angeles C,KXNFLGAME,DEN,LAC,3,1758485100
KXNFLGAME-25SEP21PITNE,KXNFLGAME-25SEP21PITNE-PIT,Pittsburgh at New England Winner?,Pittsburgh,KXNFLGAME,PIT,NE,3,1758474000
KXNFLGAME-25SEP21NYJTB,KXNFLGAME-25SEP21NYJTB-TB,New York J at Tampa Bay Winner?,Tampa Bay,KXNFLGAME,NYJ,TB,3,1758474000
KXNFLGAME-25SEP21LVWAS,KXNFLGAME-25SEP21LVWAS-WAS,Las Vegas at Washington Winner?,Washington,KXNFLGAME,LV,WAS,3,1758474000
KXNFLGAME-25SEP21LAPHI,KXNFLGAME-25SEP21LAPHI-PHI,Los Angeles R at Philadelphia Winner?,Philadelphia,KXNFLGAME,LAR,PHI,3,1758474000
KXNFLGAME-25SEP21INDTEN,KXNFLGAME-25SEP21INDTEN-IND,Indianapolis at Tennessee Winner?,Indianapolis,KXNFLGAME,TEN,IND,8,1761510300
KXNFLGAME-25SEP21HOUJAC,KXNFLGAME-25SEP21HOUJAC-JAC,Houston at Jacksonville Winner?,Jacksonville,KXNFLGAME,JAX,HOU,10,1762711200
KXNFLGAME-25SEP21GBCLE,KXNFLGAME-25SEP21GBCLE-GB,Green Bay at Cleveland Winner?,Green Bay,KXNFLGAME,GB,CLE,3,1758474000
KXNFLGAME-25SEP21CINMIN,KXNFLGAME-25SEP21CINMIN-MIN,Cincinnati at Minnesota Winner?,Minnesota,KXNFLGAME,CIN,MIN,3,1758474000
KXNFLGAME-25SEP21ATLCAR,KXNFLGAME-25SEP21ATLCAR-ATL,Atlanta at Carolina Winner?,Atlanta,KXNFLGAME,CAR,ATL,11,1763316000
KXNFLGAME-25SEP18MIABUF,KXNFLGAME-25SEP18MIABUF-MIA,Miami at Buffalo Winner?,Miami,KXNFLGAME,BUF,MIA,10,1762711200
KXNFLGAME-25SEP15LACLV,KXNFLGAME-25SEP15LACLV-LAC,Los Angeles C vs Las Vegas Winner?,Los Angeles C,KXNFLGAME,LV,LAC,13,1764537900
KXNFLGAME-25SEP15TBHOU,KXNFLGAME-25SEP15TBHOU-TB,Tampa Bay vs Houston Winner?,Tampa Bay,KXNFLGAME,TB,HOU,2,1757977200
KXNFLGAME-25SEP14ATLMIN,KXNFLGAME-25SEP14ATLMIN-MIN,Atlanta vs Minnesota Winner?,Minnesota,KXNFLGAME,ATL,MIN,2,1757895600
KXNFLGAME-25SEP14PHIKC,KXNFLGAME-25SEP14PHIKC-PHI,Philadelphia vs Kansas City Winner?,Philadelphia,KXNFLGAME,PHI,KC,2,1757881500
KXNFLGAME-25SEP14DENIND,KXNFLGAME-25SEP14DENIND-DEN,Denver vs Indianapolis Winner?,Denver,KXNFLGAME,DEN,IND,2,1757880300
KXNFLGAME-25SEP14CARARI,KXNFLGAME-25SEP14CARARI-CAR,Carolina vs Arizona Winner?,Carolina,KXNFLGAME,CAR,ARI,2,1757880300
KXNFLGAME-25SEP14SFNO,KXNFLGAME-25SEP14SFNO-SF,San Francisco vs New Orleans Winner?,San Francisco,KXNFLGAME,SF,NO,2,1757869200
KXNFLGAME-25SEP14SEAPIT,KXNFLGAME-25SEP14SEAPIT-SEA,Seattle vs Pittsburgh Winner?,Seattle,KXNFLGAME,SEA,PIT,2,1757869200
KXNFLGAME-25SEP14NYGDAL,KXNFLGAME-25SEP14NYGDAL-NYG,New York G vs Dallas Winner?,New York G,KXNFLGAME,NYG,DAL,2,1757869200
KXNFLGAME-25SEP14NEMIA,KXNFLGAME-25SEP14NEMIA-NE,New England vs Miami Winner?,New England,KXNFLGAME,NE,MIA,2,1757869200
KXNFLGAME-25SEP14LATEN,KXNFLGAME-25SEP14LATEN-TEN,Los Angeles R vs Tennessee Winner?,Tennessee,KXNFLGAME,LAR,TEN,2,1757869200
KXNFLGAME-25SEP14JACCIN,KXNFLGAME-25SEP14JACCIN-JAC,Jacksonville vs Cincinnati Winner?,Jacksonville,KXNFLGAME,JAX,CIN,2,1757869200
KXNFLGAME-25SEP14CLEBAL,KXNFLGAME-25SEP14CLEBAL-CLE,Cleveland vs Baltimore Winner?,Cleveland,KXNFLGAME,BAL,CLE,11,1763328300
KXNFLGAME-25SEP14CHIDET,KXNFLGAME-25SEP14CHIDET-DET,Chicago vs Detroit Winner?,Detroit,KXNFLGAME,CHI,DET,2,1757869200
KXNFLGAME-25SEP14BUFNYJ,KXNFLGAME-25SEP14BUFNYJ-NYJ,Buffalo vs New York J Winner?,New York J,KXNFLGAME,BUF,NYJ,2,1757869200
KXNFLGAME-25SEP11WASGB,KXNFLGAME-25SEP11WASGB-WAS,Washington vs Green Bay Winner?,Washington,KXNFLGAME,WAS,GB,2,1757636100
KXNFLGAME-25SEP08MINCHI,KXNFLGAME-25SEP08MINCHI-MIN,Minnesota vs Chicago Winner?,Minnesota,KXNFLGAME,CHI,MIN,11,1763316000
KXNFLGAME-25SEP07BALBUF,KXNFLGAME-25SEP07BALBUF-BUF,Baltimore vs Buffalo Winner?,Buffalo,KXNFLGAME,BAL,BUF,1,1757290800
KXNFLGAME-25SEP07HOULA,KXNFLGAME-25SEP07HOULA-LA,Houston vs Los Angeles R Winner?,Los Angeles R,KXNFLGAME,HOU,LAR,1,1757276700
KXNFLGAME-25SEP07DETGB,KXNFLGAME-25SEP07DETGB-DET,Detroit vs Green Bay Winner?,Detroit,KXNFLGAME,GB,DET,13,1764266400
KXNFLGAME-25SEP07TENDEN,KXNFLGAME-25SEP07TENDEN-TEN,Tennessee vs Denver Winner?,Tennessee,KXNFLGAME,TEN,DEN,1,1757275500
KXNFLGAME-25SEP07SFSEA,KXNFLGAME-25SEP07SFSEA-SF,San Francisco vs Seattle Winner?,San Francisco,KXNFLGAME,SF,SEA,1,1757275500
KXNFLGAME-25SEP07TBATL,KXNFLGAME-25SEP07TBATL-TB,Tampa Bay vs Atlanta Winner?,Tampa Bay,KXNFLGAME,ATL,TB,15,1765502100
KXNFLGAME-25SEP07PITNYJ,KXNFLGAME-25SEP07PITNYJ-PIT,Pittsburgh vs New York J Winner?,Pittsburgh,KXNFLGAME,PIT,NYJ,1,1757264400
KXNFLGAME-25SEP07NYGWAS,KXNFLGAME-25SEP07NYGWAS-NYG,New York G vs Washington Winner?,New York G,KXNFLGAME,WAS,NYG,15,1765735200
KXNFLGAME-25SEP07MIAIND,KXNFLGAME-25SEP07MIAIND-MIA,Miami vs Indianapolis Winner?,Miami,KXNFLGAME,MIA,IND,1,1757264400
KXNFLGAME-25SEP07LVNE,KXNFLGAME-25SEP07LVNE-NE,Las Vegas vs New England Winner?,New England,KXNFLGAME,LV,NE,1,1757264400
KXNFLGAME-25SEP07CINCLE,KXNFLGAME-25SEP07CINCLE-CLE,Cincinnati vs Cleveland Winner?,Cleveland,KXNFLGAME,CIN,CLE,1,1757264400
KXNFLGAME-25SEP07CARJAC,KXNFLGAME-25SEP07CARJAC-CAR,Carolina vs Jacksonville Winner?,Carolina,KXNFLGAME,CAR,JAX,1,1757264400
KXNFLGAME-25SEP07ARINO,KXNFLGAME-25SEP07ARINO-ARI,Arizona vs New Orleans Winner?,Arizona,KXNFLGAME,ARI,NO,1,1757264400
KXNFLGAME-25SEP05KCLAC,KXNFLGAME-25SEP05KCLAC-LAC,Kansas City vs Los Angeles C Winner?,Los Angeles C,KXNFLGAME,LAC,KC,15,1765735200
KXNFLGAME-25SEP04DALPHI,KXNFLGAME-25SEP04DALPHI-DAL,Dallas vs Philadelphia Winner?,Dallas,KXNFLGAME,PHI,DAL,12,1763933100
KXNFLGAME-25AUG23BUFTB,KXNFLGAME-25AUG23BUFTB-BUF,Buffalo at Tampa Bay Winner?,Buffalo,KXNFLGAME,TB,BUF,11,1763316000
KXNFLGAME-25AUG21NENYG,KXNFLGAME-25AUG21NENYG-NYG,New England at New York G Winner?,New York G,KXNFLGAME,NYG,NE,13,1764638100
